7.971,-0.88313
8.6942,-1.4792
6.3577,-5.7357
4.1782,-6.135
4.8644,6.6551
7.9942,4.5327
-8.6952,0.59491
-3.2818,6.5816
-9.9133,0.23749
6.5619,1.0392
0.14871,-5.7343
-2.6768,1.7564
-5.4672,-7.1447
0.69663,-8.9555
-4.2103,3.6662
-8.6326,2.1712
-8.3006,-5.6069
-8.6332,-1.8744
-1.8037,2.5982
-7.5324,1.1062
-1.1397,-7.4484
7.9788,-6.616
-2.9272,-9.98
-7.5964,-1.6368
1.3822,-0.23029
7.5007,-6.8026
-3.0285,3.3368
-9.1616,-9.6416
-7.1532,-7.6065
-8.4681,9.0425
4.8105,9.5171
-0.8695,-9.3817
3.365,-0.12236
3.9849,7.2544
1.4271,-5.1425
2.5739,6.6854
7.5553,6.2718
3.247,2.5795
7.5083,-9.9552
-0.64966,-2.4055
-7.1733,8.0881
-8.6373,3.607
4.2848,-2.4235
-3.8403,2.6391
3.4233,-5.1346
3.0484,1.4283
0.62098,9.6346
4.3021,6.9936
0.096212,-4.3311
-0.24001,3.6492
-0.043234,-2.8375
8.7195,9.7385
-2.2144,-8.3203
-7.6571,-4.9939
-5.1915,6.2269
3.6982,-8.3115
6.7851,0.62508
9.4029,6.0125
-5.6966,4.7765
5.2069,-7.1667
1.6821,-1.2421
-1.941,-2.9924
0.20081,-0.43005
-0.087116,1.7481
3.0274,-7.0839
4.8741,8.1066
-3.9609,2.8039
-8.2078,-6.7412
6.5193,1.3182
-2.2083,8.6323
5.5061,5.662
-6.4126,3.7137
-7.8128,-0.67561
8.1032,-4.7936
7.527,1.3854
9.9959,-5.0246
7.2851,-3.614
-9.2624,8.216
0.89365,7.7044
9.9523,5.8918
0.22016,8.5162
7.4702,-6.4232
-8.5956,0.35082
9.7508,2.5401
8.4543,8.2636
1.2852,3.2794
-1.3708,-2.2161
-3.2431,4.8002
4.4145,6.3527
-9.7269,2.0069
-2.5188,-8.3001
8.4537,8.4472
0.92959,-8.928
-0.52226,0.5405
-0.069254,-7.6229
-3.8206,-2.3971
9.0168,6.2567
9.6399,-5.1181
0.27126,7.6885
9.8518,4.2529
